                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1284,                 3.7916,                 1.0172,                0.00327,                0.27454,                0.02064,                0.01297,                 1.0752,                 3.5774,                0.91135,                 0.0874,                 0.0014,                 0.0014
                      1,                0.95072,                 2.4813,                0.97857,                0.00352,                0.29266,                0.09288,                 0.0737,                0.82461,                 3.4469,                0.87897,               0.073843,              0.0028426,              0.0028426
                      2,                0.97993,                  2.021,                0.94789,                0.00288,                 0.3256,                0.14031,                0.09845,                0.84704,                 3.4434,                0.89003,               0.060226,              0.0042258,              0.0042258
                      3,                 1.0384,                 1.8514,                0.93104,                0.00381,                 0.3312,                0.16532,                0.11698,                 1.0029,                 3.3516,                 0.9317,                0.04655,              0.0055495,              0.0055495
                      4,                 1.0004,                 1.6385,                0.95822,                 0.7093,                0.04145,                 0.2804,                0.20146,                 1.2248,                 2.9299,                 1.0644,               0.032814,              0.0068139,              0.0068139
                      5,                 1.1293,                 1.5064,                0.98704,                0.98882,                0.10442,                0.29171,                0.21368,                 1.1068,                 2.5721,                0.99498,               0.019019,              0.0080189,              0.0080189
                      6,                 1.0657,                 1.4415,                0.97077,                0.87672,                0.14019,                0.29989,                0.20911,                  1.088,                 2.3753,                 0.9874,               0.008812,               0.008812,               0.008812
                      7,                 1.0568,                 1.4332,                0.99268,                0.78122,                0.28888,                0.29998,                0.22477,                 1.1328,                 1.7802,                0.98171,               0.008812,               0.008812,               0.008812
                      8,                 1.0519,                 1.3991,                0.96946,                0.65012,                0.19893,                0.22277,                0.15927,                 1.1404,                 2.4618,                 1.0134,               0.008614,               0.008614,               0.008614
                      9,                0.98785,                 1.3427,                0.95765,                0.47111,                0.32053,                0.30735,                0.20728,                  1.221,                 1.4951,                 1.0339,               0.008416,               0.008416,               0.008416
                     10,                0.98544,                 1.2746,                0.97238,                0.71708,                0.32511,                0.35076,                0.23184,                 1.0881,                 1.4113,                0.96602,               0.008218,               0.008218,               0.008218
                     11,                 1.0286,                 1.2129,                0.96975,                0.55107,                0.35444,                0.34959,                0.23604,                 1.1011,                 1.5275,                 1.0112,                0.00802,                0.00802,                0.00802
                     12,                 1.0091,                 1.1672,                0.96401,                0.52605,                0.35155,                0.32763,                0.22716,                 1.1613,                 1.4582,                0.99767,               0.007822,               0.007822,               0.007822
                     13,                0.93148,                  1.157,                0.94446,                0.48167,                  0.338,                0.33088,                0.25104,                0.99096,                  1.101,                0.92754,               0.007624,               0.007624,               0.007624
                     14,                0.92974,                 1.0869,                 0.9322,                0.68333,                0.33725,                0.36589,                0.26964,                 1.0379,                0.99726,                0.94154,               0.007426,               0.007426,               0.007426
                     15,                0.91543,                 1.0674,                0.92079,                0.67117,                0.36052,                0.37833,                0.24729,                 1.0781,                 1.1809,                0.96246,               0.007228,               0.007228,               0.007228
